[2020-04-24 04:35:31]: Path: save/1587717331/ is created
[2020-04-24 04:35:58]: Start train process.
[2020-04-24 05:09:00]: | epoch   4 |  2800/ 4351 batches | rec loss 0.6932 | dis loss 0.5451 |
[2020-04-24 05:09:20]: | epoch   4 |  3000/ 4351 batches | rec loss 0.6672 | dis loss 0.4746 |
[2020-04-24 05:09:39]: | epoch   4 |  3200/ 4351 batches | rec loss 0.7383 | dis loss 0.4520 |
[2020-04-24 05:09:59]: | epoch   4 |  3400/ 4351 batches | rec loss 0.6972 | dis loss 0.4458 |
[2020-04-24 05:10:18]: | epoch   4 |  3600/ 4351 batches | rec loss 0.6158 | dis loss 0.5117 |
[2020-04-24 05:10:38]: | epoch   4 |  3800/ 4351 batches | rec loss 0.6906 | dis loss 0.4232 |
[2020-04-24 05:10:58]: | epoch   4 |  4000/ 4351 batches | rec loss 0.7523 | dis loss 0.4489 |
[2020-04-24 05:11:17]: | epoch   4 |  4200/ 4351 batches | rec loss 0.6735 | dis loss 0.5299 |
[2020-04-24 05:11:32]: | end of epoch   4 | time: 426.46s |
[2020-04-24 05:11:32]: | epoch   5 |     0/ 4351 batches | rec loss 0.6802 | dis loss 0.4505 |
[2020-04-24 05:11:52]: | epoch   5 |   200/ 4351 batches | rec loss 0.6424 | dis loss 0.4625 |
[2020-04-24 05:12:12]: | epoch   5 |   400/ 4351 batches | rec loss 0.6879 | dis loss 0.4270 |
[2020-04-24 05:12:31]: | epoch   5 |   600/ 4351 batches | rec loss 0.6607 | dis loss 0.4208 |
[2020-04-24 05:12:51]: | epoch   5 |   800/ 4351 batches | rec loss 0.7043 | dis loss 0.4255 |
[2020-04-24 05:13:10]: | epoch   5 |  1000/ 4351 batches | rec loss 0.6187 | dis loss 0.5730 |
[2020-04-24 05:13:30]: | epoch   5 |  1200/ 4351 batches | rec loss 0.6890 | dis loss 0.4295 |
[2020-04-24 05:13:50]: | epoch   5 |  1400/ 4351 batches | rec loss 0.5796 | dis loss 0.3742 |
[2020-04-24 05:14:09]: | epoch   5 |  1600/ 4351 batches | rec loss 0.6274 | dis loss 0.4451 |
[2020-04-24 05:14:29]: | epoch   5 |  1800/ 4351 batches | rec loss 0.6152 | dis loss 0.4115 |
[2020-04-24 05:14:48]: | epoch   5 |  2000/ 4351 batches | rec loss 0.6645 | dis loss 0.5126 |
[2020-04-24 05:15:08]: | epoch   5 |  2200/ 4351 batches | rec loss 0.6224 | dis loss 0.4219 |
[2020-04-24 05:15:27]: | epoch   5 |  2400/ 4351 batches | rec loss 0.6753 | dis loss 0.4858 |
[2020-04-24 05:15:47]: | epoch   5 |  2600/ 4351 batches | rec loss 0.6756 | dis loss 0.4882 |
[2020-04-24 05:16:07]: | epoch   5 |  2800/ 4351 batches | rec loss 0.6460 | dis loss 0.4804 |
[2020-04-24 05:16:26]: | epoch   5 |  3000/ 4351 batches | rec loss 0.6177 | dis loss 0.4574 |
[2020-04-24 05:16:46]: | epoch   5 |  3200/ 4351 batches | rec loss 0.6536 | dis loss 0.4338 |
[2020-04-24 05:17:06]: | epoch   5 |  3400/ 4351 batches | rec loss 0.6581 | dis loss 0.4614 |
[2020-04-24 05:17:25]: | epoch   5 |  3600/ 4351 batches | rec loss 0.5634 | dis loss 0.4958 |
[2020-04-24 05:17:45]: | epoch   5 |  3800/ 4351 batches | rec loss 0.6214 | dis loss 0.4253 |
[2020-04-24 05:18:04]: | epoch   5 |  4000/ 4351 batches | rec loss 0.7032 | dis loss 0.4418 |
[2020-04-24 05:18:24]: | epoch   5 |  4200/ 4351 batches | rec loss 0.6108 | dis loss 0.5045 |
[2020-04-24 05:18:39]: | end of epoch   5 | time: 426.37s |
[2020-04-24 05:18:39]: | epoch   6 |     0/ 4351 batches | rec loss 0.6585 | dis loss 0.4336 |
[2020-04-24 05:18:59]: | epoch   6 |   200/ 4351 batches | rec loss 0.6017 | dis loss 0.4311 |
[2020-04-24 05:19:18]: | epoch   6 |   400/ 4351 batches | rec loss 0.6305 | dis loss 0.4216 |
[2020-04-24 05:19:38]: | epoch   6 |   600/ 4351 batches | rec loss 0.6242 | dis loss 0.4243 |
[2020-04-24 05:19:57]: | epoch   6 |   800/ 4351 batches | rec loss 0.6559 | dis loss 0.4555 |
[2020-04-24 05:20:17]: | epoch   6 |  1000/ 4351 batches | rec loss 0.5982 | dis loss 0.5471 |
[2020-04-24 05:20:37]: | epoch   6 |  1200/ 4351 batches | rec loss 0.6633 | dis loss 0.4714 |
[2020-04-24 05:20:56]: | epoch   6 |  1400/ 4351 batches | rec loss 0.5418 | dis loss 0.3633 |
[2020-04-24 05:21:16]: | epoch   6 |  1600/ 4351 batches | rec loss 0.6193 | dis loss 0.4378 |
[2020-04-24 05:21:35]: | epoch   6 |  1800/ 4351 batches | rec loss 0.5965 | dis loss 0.4178 |
[2020-04-24 05:21:55]: | epoch   6 |  2000/ 4351 batches | rec loss 0.6130 | dis loss 0.5286 |
[2020-04-24 05:22:15]: | epoch   6 |  2200/ 4351 batches | rec loss 0.5736 | dis loss 0.4334 |
[2020-04-24 05:22:34]: | epoch   6 |  2400/ 4351 batches | rec loss 0.6135 | dis loss 0.4611 |
[2020-04-24 05:22:54]: | epoch   6 |  2600/ 4351 batches | rec loss 0.6196 | dis loss 0.5005 |
[2020-04-24 05:23:13]: | epoch   6 |  2800/ 4351 batches | rec loss 0.6336 | dis loss 0.5074 |
[2020-04-24 05:23:33]: | epoch   6 |  3000/ 4351 batches | rec loss 0.5816 | dis loss 0.4731 |
[2020-04-24 05:23:53]: | epoch   6 |  3200/ 4351 batches | rec loss 0.6364 | dis loss 0.4567 |
[2020-04-24 05:24:12]: | epoch   6 |  3400/ 4351 batches | rec loss 0.6121 | dis loss 0.4446 |
[2020-04-24 05:24:32]: | epoch   6 |  3600/ 4351 batches | rec loss 0.5376 | dis loss 0.4861 |
[2020-04-24 05:24:51]: | epoch   6 |  3800/ 4351 batches | rec loss 0.6248 | dis loss 0.4265 |
[2020-04-24 05:25:11]: | epoch   6 |  4000/ 4351 batches | rec loss 0.6824 | dis loss 0.4702 |
[2020-04-24 05:25:31]: | epoch   6 |  4200/ 4351 batches | rec loss 0.5962 | dis loss 0.5322 |
[2020-04-24 05:25:46]: | end of epoch   6 | time: 426.57s |
[2020-04-24 05:25:46]: | epoch   7 |     0/ 4351 batches | rec loss 0.6270 | dis loss 0.4103 |
[2020-04-24 05:26:05]: | epoch   7 |   200/ 4351 batches | rec loss 0.5733 | dis loss 0.4369 |
[2020-04-24 05:26:25]: | epoch   7 |   400/ 4351 batches | rec loss 0.6107 | dis loss 0.4304 |
[2020-04-24 05:26:45]: | epoch   7 |   600/ 4351 batches | rec loss 0.6147 | dis loss 0.4296 |
[2020-04-24 05:27:04]: | epoch   7 |   800/ 4351 batches | rec loss 0.6142 | dis loss 0.4128 |
[2020-04-24 05:27:24]: | epoch   7 |  1000/ 4351 batches | rec loss 0.5804 | dis loss 0.5557 |
[2020-04-24 05:27:43]: | epoch   7 |  1200/ 4351 batches | rec loss 0.6137 | dis loss 0.4170 |
[2020-04-24 05:28:03]: | epoch   7 |  1400/ 4351 batches | rec loss 0.5115 | dis loss 0.3671 |
[2020-04-24 05:28:22]: | epoch   7 |  1600/ 4351 batches | rec loss 0.5790 | dis loss 0.4102 |
[2020-04-24 05:28:42]: | epoch   7 |  1800/ 4351 batches | rec loss 0.5573 | dis loss 0.4108 |
[2020-04-24 05:29:02]: | epoch   7 |  2000/ 4351 batches | rec loss 0.6294 | dis loss 0.5126 |
[2020-04-24 05:29:21]: | epoch   7 |  2200/ 4351 batches | rec loss 0.5510 | dis loss 0.4331 |
[2020-04-24 05:29:41]: | epoch   7 |  2400/ 4351 batches | rec loss 0.5755 | dis loss 0.4574 |
[2020-04-24 05:30:00]: | epoch   7 |  2600/ 4351 batches | rec loss 0.6031 | dis loss 0.4843 |
[2020-04-24 05:30:20]: | epoch   7 |  2800/ 4351 batches | rec loss 0.6089 | dis loss 0.5164 |
[2020-04-24 05:30:40]: | epoch   7 |  3000/ 4351 batches | rec loss 0.5368 | dis loss 0.4717 |
[2020-04-24 05:30:59]: | epoch   7 |  3200/ 4351 batches | rec loss 0.6305 | dis loss 0.4626 |
[2020-04-24 05:31:19]: | epoch   7 |  3400/ 4351 batches | rec loss 0.6038 | dis loss 0.4616 |
[2020-04-24 05:31:38]: | epoch   7 |  3600/ 4351 batches | rec loss 0.5161 | dis loss 0.4773 |
[2020-04-24 05:31:58]: | epoch   7 |  3800/ 4351 batches | rec loss 0.5875 | dis loss 0.4049 |
[2020-04-24 05:32:18]: | epoch   7 |  4000/ 4351 batches | rec loss 0.6563 | dis loss 0.4276 |
[2020-04-24 05:32:37]: | epoch   7 |  4200/ 4351 batches | rec loss 0.5826 | dis loss 0.5240 |
[2020-04-24 05:32:52]: | end of epoch   7 | time: 426.45s |
[2020-04-24 05:32:52]: | epoch   8 |     0/ 4351 batches | rec loss 0.6108 | dis loss 0.4186 |
[2020-04-24 05:33:12]: | epoch   8 |   200/ 4351 batches | rec loss 0.5448 | dis loss 0.4362 |
[2020-04-24 05:33:32]: | epoch   8 |   400/ 4351 batches | rec loss 0.5845 | dis loss 0.4266 |
