[2020-03-09 00:27:08]: Path: save/1583728028/ is created
[2020-03-09 00:27:42]: Start train process.
[2020-03-09 01:17:53]: | epoch   9 |  1800/ 4351 batches | rec loss 0.6517 | dis loss 0.5556 |
[2020-03-09 01:18:07]: | epoch   9 |  2000/ 4351 batches | rec loss 0.4959 | dis loss 0.5946 |
[2020-03-09 01:18:22]: | epoch   9 |  2200/ 4351 batches | rec loss 0.6133 | dis loss 0.5210 |
[2020-03-09 01:18:37]: | epoch   9 |  2400/ 4351 batches | rec loss 0.5319 | dis loss 0.4694 |
[2020-03-09 01:18:51]: | epoch   9 |  2600/ 4351 batches | rec loss 0.5910 | dis loss 0.5114 |
[2020-03-09 01:19:06]: | epoch   9 |  2800/ 4351 batches | rec loss 0.5289 | dis loss 0.4800 |
[2020-03-09 01:19:21]: | epoch   9 |  3000/ 4351 batches | rec loss 0.5523 | dis loss 0.4803 |
[2020-03-09 01:19:35]: | epoch   9 |  3200/ 4351 batches | rec loss 0.5933 | dis loss 0.4964 |
[2020-03-09 01:19:50]: | epoch   9 |  3400/ 4351 batches | rec loss 0.6389 | dis loss 0.5269 |
[2020-03-09 01:20:05]: | epoch   9 |  3600/ 4351 batches | rec loss 0.5042 | dis loss 0.4856 |
[2020-03-09 01:20:19]: | epoch   9 |  3800/ 4351 batches | rec loss 0.5796 | dis loss 0.4155 |
[2020-03-09 01:20:34]: | epoch   9 |  4000/ 4351 batches | rec loss 0.5596 | dis loss 0.5401 |
[2020-03-09 01:20:48]: | epoch   9 |  4200/ 4351 batches | rec loss 0.5742 | dis loss 0.4720 |
[2020-03-09 01:21:00]: | end of epoch   9 | time: 318.70s |
[2020-03-09 01:21:00]: | epoch  10 |     0/ 4351 batches | rec loss 0.5474 | dis loss 0.5182 |
[2020-03-09 01:21:14]: | epoch  10 |   200/ 4351 batches | rec loss 0.5512 | dis loss 0.4903 |
[2020-03-09 01:21:29]: | epoch  10 |   400/ 4351 batches | rec loss 0.5766 | dis loss 0.4365 |
[2020-03-09 01:21:44]: | epoch  10 |   600/ 4351 batches | rec loss 0.5825 | dis loss 0.5310 |
[2020-03-09 01:21:58]: | epoch  10 |   800/ 4351 batches | rec loss 0.5982 | dis loss 0.4928 |
[2020-03-09 01:22:13]: | epoch  10 |  1000/ 4351 batches | rec loss 0.4751 | dis loss 0.4652 |
[2020-03-09 01:22:28]: | epoch  10 |  1200/ 4351 batches | rec loss 0.5508 | dis loss 0.4625 |
[2020-03-09 01:22:42]: | epoch  10 |  1400/ 4351 batches | rec loss 0.5438 | dis loss 0.3893 |
[2020-03-09 01:22:57]: | epoch  10 |  1600/ 4351 batches | rec loss 0.4676 | dis loss 0.4742 |
[2020-03-09 01:23:12]: | epoch  10 |  1800/ 4351 batches | rec loss 0.6428 | dis loss 0.5283 |
[2020-03-09 01:23:26]: | epoch  10 |  2000/ 4351 batches | rec loss 0.4946 | dis loss 0.5844 |
[2020-03-09 01:23:41]: | epoch  10 |  2200/ 4351 batches | rec loss 0.5694 | dis loss 0.5483 |
[2020-03-09 01:23:55]: | epoch  10 |  2400/ 4351 batches | rec loss 0.4957 | dis loss 0.4783 |
